Date,Hotel,Total Rooms,Rooms Solds,Rooms Revenue,CompSet Total Rooms,CompSet Rooms Sold,CompSet Rooms Revenue
2025-05-29,Imaginary Hotel 1,442,16,83298,252,181,41740
2025-05-28,Imaginary Hotel 1,442,219,43622,252,52,6901
2025-05-27,Imaginary Hotel 1,442,247,61295,252,234,63317
2025-05-26,Imaginary Hotel 1,442,295,12399,252,151,66868
2025-05-25,Imaginary Hotel 1,442,7,19074,252,86,9998
2025-05-24,Imaginary Hotel 1,442,105,68207,252,125,157983
2025-05-23,Imaginary Hotel 1,442,236,92241,252,104,171702
2025-05-22,Imaginary Hotel 1,442,416,99731,252,216,187354
2025-05-21,Imaginary Hotel 1,442,251,98821,252,183,221926
2025-05-20,Imaginary Hotel 1,442,421,52147,252,3,236370
2025-05-19,Imaginary Hotel 1,442,142,68694,252,117,165646
2025-05-18,Imaginary Hotel 1,442,334,62310,252,107,111117
2025-05-17,Imaginary Hotel 1,442,415,66730,252,2,141801
2025-05-16,Imaginary Hotel 1,442,82,51801,252,19,99633
2025-05-15,Imaginary Hotel 1,442,17,14156,252,192,193024
2025-05-14,Imaginary Hotel 1,442,266,25672,252,71,136120
2025-05-13,Imaginary Hotel 1,442,250,81143,252,237,5149
2025-05-12,Imaginary Hotel 1,442,167,30034,252,96,188131
2025-05-11,Imaginary Hotel 1,442,38,76980,252,7,23327
2025-05-10,Imaginary Hotel 1,442,127,47169,252,188,212135
2025-05-09,Imaginary Hotel 1,442,381,42820,252,251,71958
2025-05-08,Imaginary Hotel 1,442,184,31096,252,193,163316
2025-05-07,Imaginary Hotel 1,442,22,5656,252,58,68939
2025-05-06,Imaginary Hotel 1,442,215,81760,252,178,223280
2025-05-05,Imaginary Hotel 1,442,440,61314,252,109,35621
2025-05-04,Imaginary Hotel 1,442,71,99953,252,111,99637
2025-05-03,Imaginary Hotel 1,442,308,10530,252,47,46357
2025-05-02,Imaginary Hotel 1,442,181,27461,252,133,179045
2025-05-01,Imaginary Hotel 1,442,195,26167,252,150,66856
2025-04-30,Imaginary Hotel 1,442,215,68322,252,191,190728
2025-04-29,Imaginary Hotel 1,442,145,52233,252,8,125086
2025-04-28,Imaginary Hotel 1,442,423,56604,252,178,206681
2025-04-27,Imaginary Hotel 1,442,345,20738,252,131,112328
2025-04-26,Imaginary Hotel 1,442,134,55975,252,48,9956
2025-04-25,Imaginary Hotel 1,442,233,37517,252,200,170760
2025-04-24,Imaginary Hotel 1,442,89,31558,252,220,33487
2025-04-23,Imaginary Hotel 1,442,351,80299,252,87,228327
2025-04-22,Imaginary Hotel 1,442,155,15153,252,208,17716
2025-04-21,Imaginary Hotel 1,442,338,69410,252,105,227706
2025-04-20,Imaginary Hotel 1,442,185,12022,252,185,249696
2025-04-19,Imaginary Hotel 1,442,68,77056,252,102,173951
2025-04-18,Imaginary Hotel 1,442,233,38641,252,165,225416
2025-04-17,Imaginary Hotel 1,442,393,69029,252,246,86654
2025-04-16,Imaginary Hotel 1,442,440,15872,252,138,204687
2025-04-15,Imaginary Hotel 1,442,122,91277,252,120,87581
2025-04-14,Imaginary Hotel 1,442,225,85378,252,46,142230
2025-04-13,Imaginary Hotel 1,442,314,96160,252,132,245723
2025-04-12,Imaginary Hotel 1,442,192,16317,252,19,185497
2025-04-11,Imaginary Hotel 1,442,22,37105,252,236,183605
2025-04-10,Imaginary Hotel 1,442,298,89843,252,22,147172
2025-04-09,Imaginary Hotel 1,442,2,27869,252,27,18497
2025-04-08,Imaginary Hotel 1,442,120,27245,252,10,23889
2025-04-07,Imaginary Hotel 1,442,68,63887,252,252,137191
2025-04-06,Imaginary Hotel 1,442,99,58051,252,57,93264
2025-04-05,Imaginary Hotel 1,442,155,97188,252,215,107587
2025-04-04,Imaginary Hotel 1,442,274,78398,252,185,126698
2025-04-03,Imaginary Hotel 1,442,187,30004,252,148,63129
2025-04-02,Imaginary Hotel 1,442,395,94920,252,215,79454
2025-04-01,Imaginary Hotel 1,442,122,60476,252,0,239187
2025-03-31,Imaginary Hotel 1,442,160,96775,252,217,126007
2025-03-30,Imaginary Hotel 1,442,341,35063,252,214,141529
2025-03-29,Imaginary Hotel 1,442,281,62003,252,192,206831
2025-03-28,Imaginary Hotel 1,442,230,59239,252,14,125257
2025-03-27,Imaginary Hotel 1,442,223,29908,252,194,29053
2025-03-26,Imaginary Hotel 1,442,240,35312,252,105,41334
2025-03-25,Imaginary Hotel 1,442,33,99840,252,81,73227
2025-03-24,Imaginary Hotel 1,442,334,97145,252,146,16803
2025-03-23,Imaginary Hotel 1,442,299,52251,252,187,14650
2025-03-22,Imaginary Hotel 1,442,166,68075,252,70,11024
2025-03-21,Imaginary Hotel 1,442,432,98362,252,174,189115
2025-03-20,Imaginary Hotel 1,442,256,22101,252,221,18348
2025-03-19,Imaginary Hotel 1,442,80,31001,252,179,210240
2025-03-18,Imaginary Hotel 1,442,431,79812,252,117,178519
2025-03-17,Imaginary Hotel 1,442,114,91156,252,235,100848
2025-03-16,Imaginary Hotel 1,442,211,11872,252,157,120747
2025-03-15,Imaginary Hotel 1,442,122,94721,252,170,238013
2025-03-14,Imaginary Hotel 1,442,18,73542,252,228,149742
2025-03-13,Imaginary Hotel 1,442,16,96957,252,131,132603
2025-03-12,Imaginary Hotel 1,442,254,29425,252,85,238622
2025-03-11,Imaginary Hotel 1,442,154,29800,252,146,165284
2025-03-10,Imaginary Hotel 1,442,418,15295,252,198,56109
2025-03-09,Imaginary Hotel 1,442,310,99357,252,16,152540
2025-03-08,Imaginary Hotel 1,442,336,56582,252,193,25429
2025-03-07,Imaginary Hotel 1,442,36,88669,252,219,223869
2025-03-06,Imaginary Hotel 1,442,273,94592,252,136,234757
2025-03-05,Imaginary Hotel 1,442,437,75873,252,43,111131
2025-03-04,Imaginary Hotel 1,442,41,5394,252,81,231896
2025-03-03,Imaginary Hotel 1,442,76,84212,252,123,43429
2025-03-02,Imaginary Hotel 1,442,196,70858,252,165,196351
2025-03-01,Imaginary Hotel 1,442,290,34823,252,115,45343
2025-02-28,Imaginary Hotel 1,442,191,95524,252,115,85055
2025-02-27,Imaginary Hotel 1,442,307,98634,252,108,111971
2025-02-26,Imaginary Hotel 1,442,76,79485,252,99,160130
2025-02-25,Imaginary Hotel 1,442,57,47941,252,157,204145
2025-02-24,Imaginary Hotel 1,442,397,46312,252,113,23234
2025-02-23,Imaginary Hotel 1,442,395,69294,252,60,133985
2025-02-22,Imaginary Hotel 1,442,49,81329,252,206,33584
2025-02-21,Imaginary Hotel 1,442,226,87079,252,118,176277
2025-02-20,Imaginary Hotel 1,442,85,27998,252,174,188833
2025-02-19,Imaginary Hotel 1,442,413,66531,252,71,127197
2025-02-18,Imaginary Hotel 1,442,97,36802,252,225,109272
2025-02-17,Imaginary Hotel 1,442,178,54214,252,141,11581
2025-02-16,Imaginary Hotel 1,442,221,57386,252,39,48718
2025-02-15,Imaginary Hotel 1,442,212,65720,252,35,203235
2025-02-14,Imaginary Hotel 1,442,228,71583,252,34,136204
2025-02-13,Imaginary Hotel 1,442,125,19006,252,7,145358
2025-02-12,Imaginary Hotel 1,442,348,60280,252,186,117285
2025-02-11,Imaginary Hotel 1,442,140,84078,252,178,247882
2025-02-10,Imaginary Hotel 1,442,73,72741,252,90,196777
2025-02-09,Imaginary Hotel 1,442,316,17147,252,62,53137
2025-02-08,Imaginary Hotel 1,442,267,37326,252,10,136029
2025-02-07,Imaginary Hotel 1,442,91,12732,252,3,64661
2025-02-06,Imaginary Hotel 1,442,442,19288,252,250,178629
2025-02-05,Imaginary Hotel 1,442,61,99937,252,38,163856
2025-02-04,Imaginary Hotel 1,442,136,13551,252,200,71258
2025-02-03,Imaginary Hotel 1,442,233,40437,252,203,126607
2025-02-02,Imaginary Hotel 1,442,154,37483,252,159,204913
2025-02-01,Imaginary Hotel 1,442,84,41378,252,237,77204
2025-01-31,Imaginary Hotel 1,442,338,99228,252,23,56825
2025-01-30,Imaginary Hotel 1,442,332,96784,252,245,72778
2025-01-29,Imaginary Hotel 1,442,420,49653,252,163,99556
2025-01-28,Imaginary Hotel 1,442,89,42532,252,102,148079
2025-01-27,Imaginary Hotel 1,442,398,75120,252,27,195986
2025-01-26,Imaginary Hotel 1,442,90,53258,252,115,64393
2025-01-25,Imaginary Hotel 1,442,245,22741,252,44,231032
2025-01-24,Imaginary Hotel 1,442,395,50960,252,153,101284
2025-01-23,Imaginary Hotel 1,442,177,79290,252,10,145088
2025-01-22,Imaginary Hotel 1,442,167,88654,252,237,26850
2025-01-21,Imaginary Hotel 1,442,222,21791,252,154,185506
2025-01-20,Imaginary Hotel 1,442,114,96875,252,190,203636
2025-01-19,Imaginary Hotel 1,442,2,14374,252,125,39082
2025-01-18,Imaginary Hotel 1,442,278,6833,252,212,63699
2025-01-17,Imaginary Hotel 1,442,364,64009,252,8,134623
2025-01-16,Imaginary Hotel 1,442,22,89761,252,24,168049
2025-01-15,Imaginary Hotel 1,442,169,20519,252,14,11630
2025-01-14,Imaginary Hotel 1,442,163,57867,252,139,113593
2025-01-13,Imaginary Hotel 1,442,124,85446,252,200,61533
2025-01-12,Imaginary Hotel 1,442,40,86115,252,171,226659
2025-01-11,Imaginary Hotel 1,442,134,8009,252,42,216920
2025-01-10,Imaginary Hotel 1,442,229,26428,252,62,155909
2025-01-09,Imaginary Hotel 1,442,207,83184,252,172,114522
2025-01-08,Imaginary Hotel 1,442,298,22832,252,98,175146
2025-01-07,Imaginary Hotel 1,442,81,58470,252,85,49095
2025-01-06,Imaginary Hotel 1,442,199,36740,252,19,29556
2025-01-05,Imaginary Hotel 1,442,253,67337,252,188,115338
2025-01-04,Imaginary Hotel 1,442,344,65480,252,194,64364
2025-01-03,Imaginary Hotel 1,442,123,13681,252,139,110302
2025-01-02,Imaginary Hotel 1,442,376,27510,252,107,25823
2025-01-01,Imaginary Hotel 1,442,268,15254,252,30,222116
2024-12-31,Imaginary Hotel 1,442,139,49906,252,52,70279
2024-12-30,Imaginary Hotel 1,442,266,89993,252,193,56791
2024-12-29,Imaginary Hotel 1,442,247,91061,252,219,105427
2024-12-28,Imaginary Hotel 1,442,308,40292,252,242,127510
2024-12-27,Imaginary Hotel 1,442,255,25229,252,176,65436
2024-12-26,Imaginary Hotel 1,442,32,88711,252,122,245079
2024-12-25,Imaginary Hotel 1,442,85,12490,252,96,18726
2024-12-24,Imaginary Hotel 1,442,250,62900,252,231,136584
2024-12-23,Imaginary Hotel 1,442,345,97156,252,153,219178
2024-12-22,Imaginary Hotel 1,442,236,73100,252,154,138420
2024-12-21,Imaginary Hotel 1,442,205,10433,252,128,217280
2024-12-20,Imaginary Hotel 1,442,69,91410,252,91,125738
2024-12-19,Imaginary Hotel 1,442,215,12029,252,118,235369
2024-12-18,Imaginary Hotel 1,442,277,9380,252,220,50730
2024-12-17,Imaginary Hotel 1,442,299,62355,252,246,50618
2024-12-16,Imaginary Hotel 1,442,178,74525,252,131,31969
2024-12-15,Imaginary Hotel 1,442,275,58808,252,223,246967
2024-12-14,Imaginary Hotel 1,442,198,77062,252,218,195051
2024-12-13,Imaginary Hotel 1,442,250,75169,252,110,135094
2024-12-12,Imaginary Hotel 1,442,359,45701,252,151,57893
2024-12-11,Imaginary Hotel 1,442,84,83883,252,151,215089
2024-12-10,Imaginary Hotel 1,442,286,80633,252,201,249363
2024-12-09,Imaginary Hotel 1,442,225,94311,252,85,50119
2024-12-08,Imaginary Hotel 1,442,50,52262,252,126,243621
2024-12-07,Imaginary Hotel 1,442,212,43287,252,217,238154
2024-12-06,Imaginary Hotel 1,442,424,82620,252,159,145718
2024-12-05,Imaginary Hotel 1,442,18,22752,252,212,216261
2024-12-04,Imaginary Hotel 1,442,1,65879,252,85,75333
2024-12-03,Imaginary Hotel 1,442,224,99912,252,86,196295
2024-12-02,Imaginary Hotel 1,442,274,48611,252,140,216589
2024-12-01,Imaginary Hotel 1,442,33,51767,252,89,34426
2024-11-30,Imaginary Hotel 1,442,25,14149,252,238,247723
2024-11-29,Imaginary Hotel 1,442,179,39131,252,242,52961
2024-11-28,Imaginary Hotel 1,442,47,97439,252,139,142260
2024-11-27,Imaginary Hotel 1,442,77,43368,252,161,83105
2024-11-26,Imaginary Hotel 1,442,55,90533,252,16,166633
2024-11-25,Imaginary Hotel 1,442,311,50662,252,55,156847
2024-11-24,Imaginary Hotel 1,442,232,97137,252,35,97442
2024-11-23,Imaginary Hotel 1,442,426,78236,252,210,136809
2024-11-22,Imaginary Hotel 1,442,409,18469,252,220,34672
2024-11-21,Imaginary Hotel 1,442,248,38132,252,75,208788
2024-11-20,Imaginary Hotel 1,442,71,87148,252,237,46566
2024-11-19,Imaginary Hotel 1,442,234,54365,252,213,194573
2024-11-18,Imaginary Hotel 1,442,441,46066,252,33,18361
2024-11-17,Imaginary Hotel 1,442,223,65829,252,232,240366
2024-11-16,Imaginary Hotel 1,442,396,61086,252,215,163088
2024-11-15,Imaginary Hotel 1,442,256,58077,252,231,61656
2024-11-14,Imaginary Hotel 1,442,228,26843,252,19,41469
2024-11-13,Imaginary Hotel 1,442,175,40981,252,79,197156
2024-11-12,Imaginary Hotel 1,442,371,20208,252,83,223837
2024-11-11,Imaginary Hotel 1,442,132,24711,252,18,41284
2024-11-10,Imaginary Hotel 1,442,403,77799,252,111,138423
2024-11-09,Imaginary Hotel 1,442,357,85934,252,35,74584
2024-11-08,Imaginary Hotel 1,442,234,27148,252,227,64140
2024-11-07,Imaginary Hotel 1,442,216,5478,252,199,107874
