,Hotel,Total Rooms,Date,Rooms Solds,Rooms Revenue,CompSet Total Rooms,CompSet Rooms Sold,CompSet Rooms Revenue
0,Imaginary Hotel 1,442,2025-05-21,16,83298,252,181,41740
1,Imaginary Hotel 1,442,2025-05-20,219,43622,252,52,6901
2,Imaginary Hotel 1,442,2025-05-19,247,61295,252,234,63317
3,Imaginary Hotel 1,442,2025-05-18,295,12399,252,151,66868
4,Imaginary Hotel 1,442,2025-05-17,7,19074,252,86,9998
5,Imaginary Hotel 1,442,2025-05-16,105,68207,252,125,157983
6,Imaginary Hotel 1,442,2025-05-15,236,92241,252,104,171702
7,Imaginary Hotel 1,442,2025-05-14,416,99731,252,216,187354
8,Imaginary Hotel 1,442,2025-05-13,251,98821,252,183,221926
9,Imaginary Hotel 1,442,2025-05-12,421,52147,252,3,236370
10,Imaginary Hotel 1,442,2025-05-11,142,68694,252,117,165646
11,Imaginary Hotel 1,442,2025-05-10,334,62310,252,107,111117
12,Imaginary Hotel 1,442,2025-05-09,415,66730,252,2,141801
13,Imaginary Hotel 1,442,2025-05-08,82,51801,252,19,99633
14,Imaginary Hotel 1,442,2025-05-07,17,14156,252,192,193024
15,Imaginary Hotel 1,442,2025-05-06,266,25672,252,71,136120
16,Imaginary Hotel 1,442,2025-05-05,250,81143,252,237,5149
17,Imaginary Hotel 1,442,2025-05-04,167,30034,252,96,188131
18,Imaginary Hotel 1,442,2025-05-03,38,76980,252,7,23327
19,Imaginary Hotel 1,442,2025-05-02,127,47169,252,188,212135
20,Imaginary Hotel 1,442,2025-05-01,381,42820,252,251,71958
21,Imaginary Hotel 1,442,2025-04-30,184,31096,252,193,163316
22,Imaginary Hotel 1,442,2025-04-29,22,5656,252,58,68939
23,Imaginary Hotel 1,442,2025-04-28,215,81760,252,178,223280
24,Imaginary Hotel 1,442,2025-04-27,440,61314,252,109,35621
25,Imaginary Hotel 1,442,2025-04-26,71,99953,252,111,99637
26,Imaginary Hotel 1,442,2025-04-25,308,10530,252,47,46357
27,Imaginary Hotel 1,442,2025-04-24,181,27461,252,133,179045
28,Imaginary Hotel 1,442,2025-04-23,195,26167,252,150,66856
29,Imaginary Hotel 1,442,2025-04-22,215,68322,252,191,190728
30,Imaginary Hotel 1,442,2025-04-21,145,52233,252,8,125086
31,Imaginary Hotel 1,442,2025-04-20,423,56604,252,178,206681
32,Imaginary Hotel 1,442,2025-04-19,345,20738,252,131,112328
33,Imaginary Hotel 1,442,2025-04-18,134,55975,252,48,9956
34,Imaginary Hotel 1,442,2025-04-17,233,37517,252,200,170760
35,Imaginary Hotel 1,442,2025-04-16,89,31558,252,220,33487
36,Imaginary Hotel 1,442,2025-04-15,351,80299,252,87,228327
37,Imaginary Hotel 1,442,2025-04-14,155,15153,252,208,17716
38,Imaginary Hotel 1,442,2025-04-13,338,69410,252,105,227706
39,Imaginary Hotel 1,442,2025-04-12,185,12022,252,185,249696
40,Imaginary Hotel 1,442,2025-04-11,68,77056,252,102,173951
41,Imaginary Hotel 1,442,2025-04-10,233,38641,252,165,225416
42,Imaginary Hotel 1,442,2025-04-09,393,69029,252,246,86654
43,Imaginary Hotel 1,442,2025-04-08,440,15872,252,138,204687
44,Imaginary Hotel 1,442,2025-04-07,122,91277,252,120,87581
45,Imaginary Hotel 1,442,2025-04-06,225,85378,252,46,142230
46,Imaginary Hotel 1,442,2025-04-05,314,96160,252,132,245723
47,Imaginary Hotel 1,442,2025-04-04,192,16317,252,19,185497
48,Imaginary Hotel 1,442,2025-04-03,22,37105,252,236,183605
49,Imaginary Hotel 1,442,2025-04-02,298,89843,252,22,147172
50,Imaginary Hotel 1,442,2025-04-01,2,27869,252,27,18497
51,Imaginary Hotel 1,442,2025-03-31,120,27245,252,10,23889
52,Imaginary Hotel 1,442,2025-03-30,68,63887,252,252,137191
53,Imaginary Hotel 1,442,2025-03-29,99,58051,252,57,93264
54,Imaginary Hotel 1,442,2025-03-28,155,97188,252,215,107587
55,Imaginary Hotel 1,442,2025-03-27,274,78398,252,185,126698
56,Imaginary Hotel 1,442,2025-03-26,187,30004,252,148,63129
